name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
109,"-70.791419987875,-33.09354836635","-70.7914396865,-33.0939458049","-70.7914164224,-33.0939461393","-70.7914002893,-33.0931509278","-70.7914235533,-33.0931505934",180.97375983586883,0.0021675259350229974
110,"-70.7913687898,-33.093549102249995","-70.7913884882,-33.0939465408","-70.7913652241,-33.0939468752","-70.7913490915,-33.0931516637","-70.7913723554,-33.0931513293",180.9737326898443,0.002167521259620376
111,"-70.791317591725,-33.093549838200005","-70.7913372899,-33.0939472768","-70.7913140258,-33.0939476112","-70.7912978936,-33.0931523996","-70.7913211576,-33.0931520652",180.97370541859652,0.0021675258980829474
112,"-70.791266393675,-33.09355057409999","-70.7912860916,-33.0939480127","-70.7912628275,-33.0939483471","-70.7912466958,-33.0931531355","-70.7912699598,-33.0931528011",180.97367525596403,0.00216752588061983
113,"-70.79121519559999,-33.093551309949994","-70.7912348933,-33.0939487486","-70.7912116292,-33.0939490829","-70.791195498,-33.0931538713","-70.7912187619,-33.093153537",180.97364793387297,0.002167521014476463
114,"-70.791163997525,-33.0935520458","-70.791183695,-33.0939494844","-70.7911604309,-33.0939498188","-70.7911443001,-33.0931546072","-70.7911675641,-33.0931542728",180.9736209617956,0.002167525843669922
115,"-70.79111279945,-33.093552781650004","-70.7911324967,-33.0939502203","-70.7911092326,-33.0939505547","-70.7910931023,-33.093155343","-70.7911163662,-33.0931550086",180.97359369266584,0.002167521169592371
116,"-70.79106160137499,-33.093553517475","-70.7910812984,-33.0939509561","-70.7910580343,-33.0939512905","-70.7910419044,-33.0931560788","-70.7910651684,-33.0931557445",180.97356651673056,0.0021675257126939854
117,"-70.79101040329999,-33.093554253250005","-70.7910301001,-33.0939516919","-70.791006836,-33.0939520263","-70.7909907066,-33.0931568146","-70.7910139705,-33.0931564802",180.9735393981319,0.0021675211333203825
118,"-70.790959205225,-33.093554989025","-70.7909789018,-33.0939524277","-70.7909556377,-33.0939527621","-70.7909395087,-33.0931575503","-70.7909627727,-33.093157216",180.97351209986755,0.0021675256764231493
119,"-70.79090800715001,-33.0935557248","-70.7909277035,-33.0939531635","-70.7909044393,-33.0939534978","-70.7908883109,-33.0931582861","-70.7909115749,-33.0931579518",180.97347889317345,0.0021675302201522658
120,"-70.79085680905,-33.093556460525","-70.7908765052,-33.0939538992","-70.790853241,-33.0939542336","-70.790837113,-33.0931590218","-70.790860377,-33.0931586875",180.97345478834075,0.002167530298036977
121,"-70.7948207177,-33.09456543175","-70.7948404321,-33.0949628692","-70.7948171677,-33.0949632042","-70.7948010034,-33.0941679943","-70.7948242676,-33.0941676593",180.97563624966105,0.0021675252974808702
122,"-70.79476951915001,-33.0945661691","-70.7947892333,-33.0949636065","-70.7947659689,-33.0949639416","-70.7947498051,-33.0941687317","-70.7947730693,-33.0941683966",180.9756062629882,0.002167525470433432
123,"-70.794718320575,-33.09456690645","-70.7947380345,-33.0949643439","-70.7947147701,-33.0949646789","-70.7946986068,-33.094169469","-70.7947218709,-33.094169134",180.97557894115778,0.002167520603923297
124,"-70.794667122025,-33.094567643775","-70.7946868357,-33.0949650812","-70.7946635714,-33.0949654163","-70.7946474084,-33.0941702063","-70.7946706726,-33.0941698713",180.9755548363976,0.0021675206820171464
125,"-70.794615923475,-33.094568381075","-70.7946356369,-33.0949658185","-70.7946123726,-33.0949661536","-70.7945962101,-33.0941709436","-70.7946194743,-33.0941706086",180.97552467329376,0.0021675206631749013
126,"-70.794564724925,-33.0945691183","-70.7945844382,-33.0949665558","-70.7945611738,-33.0949668908","-70.7945450118,-33.0941716808","-70.7945682759,-33.0941713458",180.97550039212362,0.002167520549410381
127,"-70.79451352635,-33.0945698556","-70.7945332394,-33.0949672931","-70.794509975,-33.0949676281","-70.7944938134,-33.0941724181","-70.7945170776,-33.0941720831",180.97547324349134,0.00216752518844432
128,"-70.7944623278,-33.0945705928","-70.7944820406,-33.0949680303","-70.7944587762,-33.0949683653","-70.7944426151,-33.0941731553","-70.7944658793,-33.0941728203",180.9754430814956,0.002167525170259521
129,"-70.7944111292,-33.09457133005","-70.7944308418,-33.0949687676","-70.7944075774,-33.0949691026","-70.7943914167,-33.0941738925","-70.7944146809,-33.0941735575",180.97541882689052,0.0021675251520938557
130,"-70.79435993065,-33.094572067224995","-70.794379643,-33.0949695048","-70.7943563786,-33.0949698398","-70.7943402184,-33.0941746296","-70.7943634826,-33.0941742947",180.9753885154234,0.002167525038394829
131,"-70.794308732075,-33.094572804375005","-70.7943284442,-33.094970242","-70.7943051798,-33.0949705769","-70.7942890201,-33.0941753668","-70.7943122842,-33.0941750318",180.97536136967463,0.002167520363017367
